cluster_name,ra,dec,l,b,r_sun,r_sun_err,r_gc,rv,rv_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err,ra_dec_cor,x_gc,x_gc_err,y_gc,y_gc_err,z_gc,z_gc_err,u,u_err,v,v_err,w,w_err,r_per,r_per_err,r_apo,r_apo_err,eccentricity,l_z,l_perp,energy,l_z_base,l_perp_base,energy_base,chen_class,mass_class
NGC_5634,217.405335,-5.97643,342.21,49.26,25.96,0.62,21.84,-16.07,0.6,-1.69,0.009,-1.489,0.008,-0.04,-7.95,0.39,-5.18,0.12,19.67,0.47,59.05,0.92,-14.26,1.03,-26.56,0.8,3.08,0.25,22.18,0.59,0.7661594684289945,0.4287679843467474,1.0618361377546204,-0.10877719987220907,419.2459999999999,1038.2551161960387,-103999.44731909032,GS/E,Helmi/GS/E
NGC_5694,219.901245,-26.538776,331.056,30.36,34.84,0.74,29.16,-139.55,0.49,-0.476,0.012,-1.102,0.011,-0.36,-18.13,0.56,-14.55,0.31,17.61,0.37,114.37,1.32,144.79,1.72,-170.18,1.6,29.14,0.71,59.26,1.47,0.9121040999060677,-0.9827846639525786,1.0982243010000552,-0.06563869022789798,-960.9591999999996,1073.8351791786756,-62755.68330927778,other,H-E
IC_4499,225.077188,-82.213792,307.354,-20.473,18.89,0.25,15.75,38.41,0.31,0.457,0.007,-0.492,0.007,-0.05,-2.56,0.14,-14.07,0.19,-6.61,0.09,-30.75,0.55,247.81,0.48,-61.21,0.62,6.68,0.19,28.58,0.53,0.6229910524764413,-1.0912810271345652,2.5564556580889817,-0.09254826822425316,-1067.0461,2499.682457551249,-88483.3288314888,other,Seq
NGC_5824,225.994156,-33.068138,332.555,22.071,31.71,0.6,25.42,-25.24,0.52,-1.193,0.01,-2.228,0.009,-0.2,-17.9,0.49,-13.55,0.26,11.92,0.23,97.4,0.96,-61.59,1.35,-179.17,1.35,13.94,1.19,34.99,1.61,0.43197926262873193,2.477245110250799,3.851746356021424,-0.08108172087428872,2422.231,3766.207626805072,-77520.41943084747,other,Sag
Pal_5,229.019167,-0.121,0.839,45.856,21.94,0.51,17.27,-58.61,0.15,-2.754,0.017,-2.643,0.014,0.01,-7.1,0.36,0.22,0.01,15.74,0.37,49.28,1.16,-144.14,1.59,-10.2,1.13,8.88,1.2,17.54,0.61,0.3056697819135865,1.0355496572262146,2.4270120535882773,-0.1094866561745577,1012.5524,2373.1135079241362,-104677.74261836243,other,Helmi
NGC_5897,229.351659,-21.010122,342.946,30.294,12.55,0.24,7.41,101.31,0.22,-5.415,0.006,-3.392,0.006,-0.33,-2.18,0.19,-3.18,0.06,6.33,0.12,34.52,0.27,-129.35,0.34,91.18,0.32,2.45,0.22,8.83,0.29,0.5478667711681258,0.4006542405569403,0.688939469663666,-0.14753705245172344,391.7566,673.6396546460206,-141056.8752651536,in-situ,GS/E
NGC_5904,229.638412,2.081028,3.859,46.796,7.48,0.06,6.27,53.5,0.25,4.073,0.006,-9.872,0.006,-0.37,3.07,0.04,0.34,0.0,5.45,0.04,-301.43,0.23,89.62,0.22,-181.13,0.23,3.25,0.03,23.44,0.53,0.8129819013314548,0.38619615867968937,1.2456468090642177,-0.10017758089416606,377.61960000000005,1217.983760864487,-95777.54399815616,GS/E,Helmi/GS/E
NGC_5927,232.002869,-50.673031,326.604,4.86,8.27,0.11,4.77,-104.09,0.28,-5.058,0.006,-3.186,0.006,-0.25,1.3,0.09,-4.54,0.06,0.7,0.01,205.0,0.27,114.22,0.25,7.05,0.23,4.03,0.01,5.48,0.07,0.15579536712421746,1.1036966505470034,0.17884647441057763,-0.16306451817629253,1079.186,174.8746915536951,-155902.33787605385,in-situ,in-situ
NGC_5946,233.869051,-50.659713,327.583,4.191,9.64,0.51,5.2,137.6,0.94,-5.317,0.015,-1.639,0.015,-0.2,0.06,0.43,-5.16,0.27,0.7,0.04,7.2,0.88,-21.45,0.77,98.68,0.7,0.48,0.15,5.13,0.32,0.8820278969485961,0.036679571799363854,0.5053983596895066,-0.18187325942166999,35.865,494.17458495462927,-173884.95460626064,in-situ,L-E
NGC_5986,236.512497,-37.786415,337.022,13.268,10.54,0.13,4.85,101.18,0.43,-4.18,0.017,-4.565,0.017,-0.15,-1.27,0.12,-4.0,0.05,2.42,0.03,8.15,0.53,-71.93,0.78,-13.39,0.81,0.54,0.08,5.03,0.09,0.7121972020436256,0.12676629784079546,0.23281717505360153,-0.18257812030406656,123.95110000000001,227.64682284110623,-174558.85632732173,in-situ,L-E
