cluster_name,ra,dec,l,b,r_sun,r_sun_err,r_gc,rv,rv_err,pm_ra,pm_ra_err,pm_dec,pm_dec_err,ra_dec_cor,x_gc,x_gc_err,y_gc,y_gc_err,z_gc,z_gc_err,u,u_err,v,v_err,w,w_err,r_per,r_per_err,r_apo,r_apo_err,eccentricity,l_z,l_perp,energy,l_z_base,l_perp_base,energy_base,chen_class,mass_class
NGC_6626,276.137039,-24.869847,7.798,-5.581,5.37,0.1,3.02,11.11,0.6,-0.303,0.018,-8.931,0.018,-0.26,2.88,0.1,0.72,0.01,-0.52,0.01,-40.52,0.6,48.96,0.46,-90.99,0.46,0.61,0.05,2.97,0.1,0.6019000663663463,0.17404433807774436,0.2924351170365888,-0.20951774700781214,170.1792,285.94078278468777,-200315.23074644245,in-situ,in-situ
NGC_6638,277.733734,-25.497473,7.896,-7.153,9.78,0.34,2.3,8.63,2.0,-2.515,0.011,-4.069,0.01,0.2,-1.43,0.33,1.33,0.05,-1.22,0.04,-52.31,1.97,35.04,0.54,25.45,0.55,0.28,0.08,2.36,0.26,0.9263509618479184,0.01990719456383097,0.1289977433589118,-0.21809082035483685,19.465100000000014,126.13299007071862,-208511.75438341819,in-situ,in-situ
NGC_6637,277.846252,-32.348084,1.723,-10.269,8.9,0.1,1.71,47.48,1.0,-5.053,0.007,-5.825,0.007,0.4,-0.58,0.1,0.26,0.0,-1.59,0.02,-82.47,0.98,-59.69,0.28,82.89,0.33,0.4,0.09,2.03,0.08,0.24424483781198084,0.05733569848165777,0.19803403179970405,-0.21683586683898612,56.0624,193.63613592183665,-207311.9214017552,in-situ,in-situ
NGC_6642,277.975957,-23.475602,9.815,-6.439,8.05,0.2,1.66,-60.61,1.35,-0.175,0.013,-3.9,0.013,0.23,0.3,0.2,1.36,0.03,-0.9,0.02,31.86,1.32,106.97,0.53,-46.79,0.53,0.27,0.08,1.82,0.08,0.7665111705613924,-0.011493852938082548,0.03658280125348718,-0.22621594431942632,-11.2386,35.77037851295399,-216280.003637022,in-situ,in-situ
NGC_6652,278.940125,-32.990723,1.534,-11.377,9.46,0.14,2.18,-95.37,0.86,-5.496,0.012,-4.25,0.012,0.07,-1.1,0.14,0.25,0.0,-1.87,0.03,46.85,0.86,-26.61,0.53,165.75,0.55,0.32,0.05,3.09,0.17,0.8643378270411107,0.01795729154995484,0.09723998464453829,-0.20110055719303285,17.558500000000002,95.08050062178891,-192267.74386734172,in-situ,in-situ
NGC_6656,279.099762,-23.904749,9.892,-7.552,3.3,0.04,5.0,-148.72,0.78,9.841,0.009,-5.607,0.009,0.2,4.95,0.04,0.56,0.01,-0.43,0.0,155.31,0.76,212.88,0.19,-148.73,0.18,2.97,0.02,9.59,0.02,0.5463543733708159,0.9887401214320732,0.6846863929168512,-0.14248659094586746,966.7824,669.4810292847736,-136228.2420043929,in-situ,in-situ
Pal_8,280.37729,-19.828858,14.103,-6.801,11.32,0.63,4.09,-39.68,1.25,-1.999,0.054,-5.633,0.047,0.16,-2.72,0.61,2.74,0.15,-1.34,0.07,-46.04,1.42,-67.23,2.54,-26.26,2.79,1.09,0.36,4.12,0.59,0.5293592815335695,0.3160336042240285,0.16601960668768453,-0.19305089359679933,309.01520000000005,162.33268006572186,-184571.6405837825,in-situ,in-situ
NGC_6681,280.803162,-32.29211,2.853,-12.51,9.36,0.11,2.29,216.62,0.84,1.42,0.013,-4.73,0.012,0.22,-0.95,0.1,0.45,0.01,-2.03,0.02,-199.39,0.84,96.15,0.55,-180.24,0.58,0.81,0.04,4.98,0.18,0.7273901996165824,-0.0016537255708788945,0.26580963404923275,-0.17194482977440817,-1.6170000000000055,259.9065926211568,-164392.60513160293,in-situ,L-E
NGC_6712,283.268021,-8.70596,25.354,-4.318,7.38,0.24,3.55,-107.45,0.29,3.355,0.007,-4.44,0.007,0.13,1.53,0.21,3.15,0.1,-0.56,0.02,60.92,0.28,123.26,0.26,-159.05,0.26,0.45,0.1,4.84,0.13,0.8809371627925682,-0.003385381808734239,0.4908870297293511,-0.1847903209193969,-3.31019999999998,479.9855193933458,-176673.89184601122,in-situ,L-E
NGC_6715,283.763855,-30.479862,5.607,-14.087,26.28,0.33,18.51,143.13,0.43,-2.682,0.007,-1.374,0.007,0.25,-17.19,0.32,2.49,0.03,-6.4,0.08,-235.36,0.47,-17.11,0.84,203.74,0.84,14.77,0.33,46.92,1.89,0.5673818974269195,0.9001578049854239,5.138482046267932,-0.06879817711054177,880.1673000000001,5024.367776087169,-65776.39803619565,Sag,Sag
NGC_6717,283.775177,-22.701473,12.876,-10.9,7.52,0.13,2.38,30.25,0.9,-3.153,0.016,-5.008,0.016,0.35,0.98,0.13,1.65,0.03,-1.42,0.02,-91.59,0.87,55.81,0.57,27.44,0.58,0.74,0.02,2.54,0.05,0.2935133684078821,0.21049185648685934,0.16538277706933738,-0.21123495189031594,205.81730000000002,161.70999301836605,-201957.0119186352,in-situ,in-situ
NGC_6723,284.888123,-36.632248,0.069,-17.299,8.27,0.1,2.47,-94.39,0.26,1.018,0.006,-2.41,0.006,0.21,0.28,0.09,0.01,0.0,-2.46,0.03,100.19,0.26,178.63,0.23,-32.93,0.23,2.07,0.05,2.82,0.03,0.37037989643704483,0.050127725413632224,0.5104300865113922,-0.18713581813453647,49.014500000000005,499.0945683026916,-178916.36926177068,in-situ,in-situ
NGC_6749,286.314056,1.899756,36.2,-2.205,7.59,0.21,4.94,-58.44,0.96,-2.872,0.027,-5.981,0.027,0.1,2.06,0.17,4.48,0.13,-0.29,0.01,-104.73,0.96,25.0,0.96,2.83,0.97,1.43,0.06,4.95,0.05,0.5238699729382892,0.5325164063025091,0.03233203833703896,-0.18544230157289146,520.6904000000001,31.61401559704177,-177297.2359632144,in-situ,in-situ
NGC_6752,287.717102,-59.984554,336.493,-25.628,4.12,0.04,5.3,-26.01,0.12,-3.16,0.012,-4.024,0.012,0.03,4.77,0.03,-1.48,0.01,-1.78,0.02,27.25,0.17,172.35,0.23,60.49,0.22,3.38,0.03,5.49,0.02,0.2130837903052558,0.8820273682659266,0.4101043438116333,-0.1652146398235938,862.4395,400.9968374565191,-157958.021082193,in-situ,in-situ
NGC_6760,287.800268,1.030466,36.108,-3.924,8.41,0.43,5.17,-2.37,1.27,-1.093,0.008,-3.632,0.007,0.3,1.4,0.35,4.95,0.25,-0.58,0.03,-95.28,1.04,129.61,0.78,-20.16,0.32,1.84,0.07,5.82,0.2,0.504439348967272,0.667923087869693,0.08901729663392215,-0.17420615445373483,653.09,87.04042024370057,-166554.60706891402,in-situ,in-situ
NGC_6779,289.148193,30.183472,62.659,8.336,10.43,0.14,9.91,-136.97,0.45,-2.003,0.007,1.617,0.007,0.07,3.44,0.06,9.17,0.13,1.51,0.02,83.5,0.37,128.29,0.43,110.44,0.35,1.3,0.08,13.13,0.16,0.8156280106333872,-0.33174471304589337,0.8769228392079644,-0.13297307036839684,-324.37739999999997,857.448331191781,-127132.57780934026,GS/E,GS/E
Ter_7,289.432983,-34.657722,3.387,-20.067,24.28,0.49,16.85,159.45,0.14,-2.99,0.013,-1.659,0.012,0.24,-14.59,0.46,1.35,0.03,-8.33,0.17,-266.95,0.55,-29.06,1.42,196.22,1.44,14.57,0.48,50.41,3.74,0.6046865871011523,0.8021825932013452,5.202122095559698,-0.06586879194317632,784.3679,5086.59452127204,-62975.67841159919,Sag,Sag
Pal_10,289.508728,18.571667,52.436,2.725,8.94,1.18,7.6,-31.7,0.23,-4.326,0.01,-7.173,0.01,0.11,2.73,0.72,7.08,0.94,0.43,0.06,-272.22,0.38,10.22,0.33,26.44,0.44,6.38,1.14,12.79,6.02,0.3011233009154971,1.999625438458747,0.2690845835598624,-0.12774679363061547,1955.2182000000003,263.1088127790478,-122135.85153853703,in-situ,in-situ
Arp_2,292.183807,-30.355639,8.545,-20.785,28.73,0.34,21.39,122.64,0.29,-2.317,0.012,-1.487,0.01,0.21,-18.38,0.32,3.99,0.05,-10.19,0.12,-248.46,0.69,-13.89,1.42,175.88,1.53,17.77,0.38,51.38,2.06,0.5411755243859019,1.27496780231801,5.923181154538239,-0.06408018322020842,1246.6536,5791.640460513726,-61265.62962492979,Sag,Sag
NGC_6809,294.998779,-30.96475,8.793,-23.272,5.35,0.05,4.01,174.7,0.17,-3.435,0.007,-9.296,0.007,-0.05,3.32,0.05,0.75,0.01,-2.11,0.02,-210.78,0.17,28.97,0.17,-55.46,0.17,1.6,0.0,5.62,0.03,0.5799646037771654,0.2600403177302097,0.6434661917232108,-0.16924306674627002,254.26540000000003,629.1762371815149,-161809.50994213662,in-situ,L-E
Ter_8,295.435028,-33.999474,5.759,-24.559,27.54,0.42,20.43,148.53,0.17,-2.499,0.009,-1.58,0.006,-0.44,-16.74,0.38,2.51,0.04,-11.44,0.17,-278.55,0.53,-15.93,0.83,173.31,1.07,17.66,0.48,95.16,119.42,nan,0.9877647608402691,6.231453411721542,-0.0581983892810462,965.8287,6093.06667574754,-55642.17802260622,Sag,Sag
Pal_11,296.31,-8.007222,31.805,-15.576,14.02,0.51,8.7,-67.64,0.76,-1.741,0.025,-4.973,0.022,0.17,-3.3,0.42,7.12,0.26,-3.77,0.14,-129.7,1.12,-83.56,1.36,-14.16,1.6,4.49,0.73,8.68,0.47,0.29524884965974113,1.226448700868778,0.6208295334206096,-0.14374132396381925,1199.212,607.0422887683857,-137427.86417294753,in-situ,in-situ
Sagittarius_II,298.164708,-22.065251,18.937,-22.893,66.53,1.56,59.54,-175.73,0.37,-0.807,0.045,-0.897,0.028,-0.03,-49.79,1.36,19.89,0.47,-25.88,0.61,-22.93,6.7,-119.98,8.75,199.42,12.51,59.67,1.55,325.66,204.89,nan,6.575918438937128,10.797537208351535,-0.04102376644043383,6429.881900000001,10557.747895635033,-39221.905341972095,-,-
NGC_6838,298.443726,18.779194,56.746,-4.564,4.0,0.05,6.86,-22.72,0.2,-3.412,0.011,-2.662,0.011,-0.06,5.99,0.03,3.34,0.04,-0.32,0.0,-63.91,0.21,193.37,0.21,38.86,0.22,4.81,0.02,7.12,0.0,0.1755907778876422,1.4029010147391225,0.2925342302304502,-0.15029578675037214,1371.7457000000002,286.03769489471136,-143694.4394118382,in-situ,in-situ
NGC_6864,301.519784,-21.921164,20.304,-25.747,20.52,0.45,14.3,-189.08,1.12,-0.614,0.016,-2.796,0.015,0.18,-9.15,0.38,6.41,0.14,-8.91,0.2,69.15,1.26,-71.35,1.46,53.63,1.47,1.12,0.21,16.15,0.58,0.8712495590275596,0.2143614925057426,0.32497301135118734,-0.12450289204684588,209.60099999999989,317.75608275537377,-119034.42980433269,GS/E,GS/E
NGC_6934,308.547394,7.404472,52.103,-18.893,15.72,0.17,12.83,-406.22,0.73,-2.658,0.008,-4.691,0.007,0.12,-0.96,0.1,11.73,0.13,-5.09,0.06,-88.22,0.62,-302.01,0.65,122.23,0.58,3.69,2.5,42.1,1.68,0.8834054606843502,1.3548381451867175,0.5888314878351456,-0.07759442225120362,1324.7502,575.7548486859316,-74186.29123244243,other,H-E
NGC_6981,313.365417,-12.537306,35.162,-32.683,16.66,0.18,12.53,-331.39,1.47,-1.261,0.007,-3.369,0.005,0.08,-3.29,0.13,8.08,0.09,-9.0,0.1,62.03,1.07,-146.06,0.8,170.23,0.9,0.73,0.03,22.08,0.45,0.9225646757336182,-0.02113434689066923,0.06232877950355651,-0.10874073106689167,-20.664999999999946,60.94459578543455,-103964.58031017803,GS/E,Helmi
NGC_7006,315.372626,16.187323,63.77,-19.407,39.32,0.56,36.67,-383.47,0.73,-0.115,0.01,-0.619,0.009,0.03,-8.21,0.23,33.27,0.47,-13.06,0.19,62.61,1.61,-134.21,1.07,84.85,1.69,2.33,0.18,50.56,0.78,0.9010175821853835,-1.0034551086051837,1.1014643643218542,-0.07369219077181932,-981.1706000000001,1077.003287892484,-70455.45501268413,other,Seq
Laevens_3,316.7267,14.9805,63.593,-21.176,61.77,1.65,58.85,-70.3,0.82,0.242,0.102,-0.748,0.079,0.07,-17.44,0.68,51.59,1.38,-22.31,0.6,-68.19,24.47,74.23,12.76,-144.15,25.55,16.94,5.2,500.0,0.0,nan,2.2738480125952942,5.998450440665455,-0.053888753076823476,2223.3509,5865.238183020384,-51521.83125957086,-,-
NGC_7078,322.493042,12.167001,65.013,-27.313,10.71,0.1,10.76,-106.84,0.3,-0.648,0.009,-3.801,0.008,0.13,4.16,0.04,8.62,0.08,-4.91,0.04,-106.01,0.42,53.95,0.35,-30.3,0.41,3.9,0.06,10.77,0.06,0.4493203102212728,1.1640900538597148,0.6612526885768665,-0.13768754212911755,1138.2382,646.5677354559692,-131639.9787912778,GS/E,in-situ
NGC_7089,323.362579,-0.82325,53.371,-35.77,11.69,0.11,10.54,-3.78,0.3,3.445,0.009,-2.177,0.009,-0.07,2.52,0.06,7.61,0.07,-6.83,0.07,73.27,0.47,146.63,0.42,-173.8,0.45,0.88,0.06,18.74,0.22,0.89351234630067,-0.1923487381365157,0.33458285478503497,-0.11580685377964361,-188.07710000000003,327.15251291656017,-110720.34215805055,GS/E,GS/E
NGC_7099,325.092133,-23.179861,27.179,-46.835,8.46,0.09,7.36,-185.19,0.17,-0.732,0.008,-7.307,0.007,0.29,3.03,0.05,2.64,0.03,-6.17,0.06,1.8,0.27,-80.48,0.29,107.84,0.25,1.51,0.01,8.56,0.08,0.6635404782127217,-0.25425278958821607,0.40785133477277447,-0.15220327093844632,-248.60639999999998,398.79386274294643,-145518.14237130646,GS/E,GS/E
Pal_12,326.661804,-21.252611,30.51,-47.682,18.49,0.3,15.28,27.91,0.28,-3.225,0.013,-3.32,0.012,0.46,-2.55,0.17,6.32,0.1,-13.67,0.22,-327.57,0.92,18.08,0.96,109.51,0.77,15.3,0.27,51.25,3.55,0.6027223918234733,2.0701109654161294,4.959100812220983,-0.06477431675520727,2024.1384000000003,4848.970200720561,-61929.27516912779,Sag,Sag
Pal_13,346.68519,12.771539,87.103,-42.7,23.48,0.4,24.57,25.3,0.22,1.74,0.039,0.116,0.032,0.11,7.31,0.01,17.23,0.29,-15.92,0.27,161.51,4.18,216.8,2.57,-77.87,2.82,6.91,0.34,58.24,1.76,0.8018009709255034,-1.2252186849478777,2.9745125752344226,-0.06472632539295498,-1198.0093000000002,2908.4552593559115,-61883.39170130372,other,Seq
NGC_7492,347.11117,-15.611469,53.386,-63.478,24.39,0.57,23.57,-176.7,0.27,0.777,0.011,-2.321,0.011,0.21,1.68,0.15,8.74,0.21,-21.82,0.51,-1.29,1.26,-75.12,1.16,70.68,0.62,2.81,0.38,26.03,0.64,0.8140303955416962,-0.11753724099220658,1.04867385423678,-0.10208805150778216,-114.92699999999999,1025.3851377527371,-97604.10221227507,GS/E,GS/E
